Match ID,Home Team,Away Team,Result,League
3840895,BSC Young Boys,FC Zürich,"4:0
(0:0)",Credit Suisse Super League
3840896,FC Winterthur,FC Basel 1893,"1:1
(1:0)",Credit Suisse Super League
3840897,FC Lugano,FC Sion,"2:3
(0:1)",Credit Suisse Super League
3840898,Servette FC,FC St. Gallen 1879,"1:0
(1:0)",Credit Suisse Super League
3840899,FC Luzern,Grasshopper Club Zurich,"1:1
(1:1)",Credit Suisse Super League
3840900,FC Zürich,FC Luzern,"0:0
(0:0)",Credit Suisse Super League
3840901,FC St. Gallen 1879,FC Winterthur,"2:0
(2:0)",Credit Suisse Super League
3840902,FC Basel 1893,Servette FC,"1:1
(1:0)",Credit Suisse Super League
3840903,Grasshopper Club Zurich,FC Lugano,"2:1
(1:0)",Credit Suisse Super League
3840904,FC Sion,BSC Young Boys,"0:3
(0:2)",Credit Suisse Super League
3840905,FC St. Gallen 1879,FC Zürich,"2:0
(2:0)",Credit Suisse Super League
3840906,FC Sion,Servette FC,"0:0
(0:0)",Credit Suisse Super League
3840907,FC Winterthur,FC Lugano,"1:4
(1:3)",Credit Suisse Super League
3840908,BSC Young Boys,Grasshopper Club Zurich,"1:1
(1:0)",Credit Suisse Super League
3840909,FC Luzern,FC Basel 1893,"0:2
(0:1)",Credit Suisse Super League
3840910,Servette FC,FC Winterthur,"1:0
(0:0)",Credit Suisse Super League
3840911,Grasshopper Club Zurich,FC St. Gallen 1879,"3:2
(2:2)",Credit Suisse Super League
3840912,FC Zürich,FC Sion,"0:3
(0:0)",Credit Suisse Super League
3840913,FC Basel 1893,BSC Young Boys,"0:0
(0:0)",Credit Suisse Super League
3840914,FC Lugano,FC Luzern,"1:2
(0:1)",Credit Suisse Super League
3840915,FC Sion,Grasshopper Club Zurich,"2:2
(1:0)",Credit Suisse Super League
3840916,FC Winterthur,FC Zürich,"1:1
(0:0)",Credit Suisse Super League
3840917,FC St. Gallen 1879,FC Luzern,"4:1
(1:0)",Credit Suisse Super League
3840918,FC Basel 1893,FC Lugano,"0:2
(0:0)",Credit Suisse Super League
3840919,BSC Young Boys,Servette FC,"3:0
(1:0)",Credit Suisse Super League
3840920,FC Luzern,FC Sion,"2:0
(2:0)",Credit Suisse Super League
3840921,Servette FC,Grasshopper Club Zurich,"3:1
(1:1)",Credit Suisse Super League
3840922,FC Lugano,FC St. Gallen 1879,"2:3
(1:2)",Credit Suisse Super League
3840923,FC Winterthur,BSC Young Boys,"1:5
(1:1)",Credit Suisse Super League
3840924,FC Zürich,FC Basel 1893,"2:4
(1:1)",Credit Suisse Super League
3840925,FC Sion,FC Basel 1893,"2:1
(1:0)",Credit Suisse Super League
3840926,FC Zürich,FC Lugano,"1:2
(1:1)",Credit Suisse Super League
3840927,FC Luzern,Servette FC,"0:2
(0:1)",Credit Suisse Super League
3840928,Grasshopper Club Zurich,FC Winterthur,"3:0
(1:0)",Credit Suisse Super League
3840929,FC St. Gallen 1879,BSC Young Boys,"2:1
(0:0)",Credit Suisse Super League
3840930,FC St. Gallen 1879,FC Sion,"1:2
(0:2)",Credit Suisse Super League
3840931,Servette FC,FC Zürich,"3:2
(2:1)",Credit Suisse Super League
3840932,FC Winterthur,FC Luzern,"0:6
(0:4)",Credit Suisse Super League
3840933,FC Basel 1893,Grasshopper Club Zurich,"5:1
(2:1)",Credit Suisse Super League
