Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number
Marwin Hitz,Goalkeeper,"Sep 18, 1987 (35)","1,94m",right,"Jul 1, 2022",,€500k,FC Basel 1893,26
Mirko Salvi,Goalkeeper,"Feb 14, 1994 (29)","1,88m",right,"Jul 1, 2022",,€100k,FC Basel 1893,26
Nils de Mol ,Goalkeeper,"May 3, 2001 (22)","1,83m",right,"Jul 1, 2022",,€100k,FC Basel 1893,26
Antonio Spagnoli,Goalkeeper,"May 31, 2005 (18)",-,right,, ,€50k,FC Basel 1893,26
Riccardo Calafiori,Centre-Back,"May 19, 2002 (21)","1,88m",left,"Aug 31, 2022",,€4.50m,FC Basel 1893,26
Andy Pelmard,Centre-Back,"Mar 12, 2000 (23)","1,80m",right,"Jul 1, 2022",,€4.30m,FC Basel 1893,26
Arnau Comas ,Centre-Back,"Apr 11, 2000 (23)","1,91m",right,"Jul 1, 2022",,€1.50m,FC Basel 1893,26
Nasser Djiga,Centre-Back,"Nov 15, 2002 (20)","1,92m",right,"Jul 1, 2021",,€700k,FC Basel 1893,26
Kasim Adams,Centre-Back,"Jun 22, 1995 (28)","1,90m",right,"Jul 21, 2022",,€700k,FC Basel 1893,26
Jonas Adjetey,Centre-Back,"Dec 13, 2003 (19)","1,88m",right,"Aug 3, 2022",,€100k,FC Basel 1893,26
Erdin Ismaili,Centre-Back,"Jun 10, 2005 (18)","1,80m", ,, ,€25k,FC Basel 1893,26
Marvin Akahomen,Centre-Back,"Jul 15, 2007 (15)","1,86m",left,"Mar 14, 2024",,-,FC Basel 1893,26
Noah Katterbach,Left-Back,"Apr 13, 2001 (22)","1,80m",left,"Jan 18, 2022",,€1.00m,FC Basel 1893,26
Hugo Vogel,Left-Back,"Jan 4, 2004 (19)","1,77m",left,"Jul 1, 2022",,€400k,FC Basel 1893,26
Andrea Padula,Left-Back,"Apr 4, 1996 (27)","1,83m",right,"Sep 11, 2020",,€150k,FC Basel 1893,26
Hugo Novoa,Right-Back,"Jan 24, 2003 (20)","1,82m",right,"Jan 4, 2023",,€4.30m,FC Basel 1893,26
Sergio López ,Right-Back,"Apr 8, 1999 (24)","1,79m",right,"Jul 1, 2021",,€1.40m,FC Basel 1893,26
Michael Lang,Right-Back,"Feb 8, 1991 (32)","1,85m",right,"Jul 19, 2021",,€400k,FC Basel 1893,26
Wouter Burger,Defensive Midfield,"Feb 16, 2001 (22)","1,91m",left,"Aug 31, 2021",,€4.50m,FC Basel 1893,26
Taulant Xhaka,Defensive Midfield,"Mar 28, 1991 (32)","1,72m",right,"Jul 1, 2010",,€300k,FC Basel 1893,26
Fabian Frei ,Defensive Midfield,"Jan 8, 1989 (34)","1,83m",right,"Jan 1, 2018",,€200k,FC Basel 1893,26
Leon Avdullahu,Defensive Midfield,"Feb 23, 2004 (19)","1,85m",right,"Jul 21, 2023",,€100k,FC Basel 1893,26
Andy Diouf,Central Midfield,"May 17, 2003 (20)","1,87m",left,"Jul 1, 2023",,€7.00m,FC Basel 1893,26
Emmanuel Essiam ,Central Midfield,"Dec 19, 2003 (19)","1,83m",right,"Jan 3, 2022",,€500k,FC Basel 1893,26
Liam Chipperfield,Central Midfield,"Feb 14, 2004 (19)","1,78m",right,"Jan 1, 2022",,€200k,FC Basel 1893,26
Darian Males,Right Midfield,"May 3, 2001 (22)","1,88m",left,"Jul 9, 2021",,€5.00m,FC Basel 1893,26
Adriano Onyegbule,Attacking Midfield,"Jun 23, 2006 (17)","1,84m",right,"Jul 1, 2022",,€200k,FC Basel 1893,26
Liam Millar,Left Winger,"Sep 27, 1999 (23)","1,81m",right,"Jul 8, 2021",,€1.70m,FC Basel 1893,26
Joelson Fernandes,Left Winger,"Feb 28, 2003 (20)","1,72m",right,"Aug 31, 2021",,€1.50m,FC Basel 1893,26
Anton Kade,Left Winger,"Jan 17, 2004 (19)","1,85m",right,"Jul 1, 2022",,€1.00m,FC Basel 1893,26
Sayfallah Ltaief,Left Winger,"Apr 22, 2000 (23)","1,78m",right,"Jul 1, 2022",,€400k,FC Basel 1893,26
Noah Streit,Left Winger,"Oct 11, 2005 (17)","1,79m",left,, ,€25k,FC Basel 1893,26
Dan Ndoye,Right Winger,"Oct 25, 2000 (22)","1,84m",right,"Jul 1, 2022",,€3.50m,FC Basel 1893,26
Zeki Amdouni,Centre-Forward,"Dec 4, 2000 (22)","1,85m",both,"Jul 1, 2023",,€10.00m,FC Basel 1893,26
Andi Zeqiri,Centre-Forward,"Jun 22, 1999 (24)","1,85m",left,"Aug 2, 2022",,€3.50m,FC Basel 1893,26
Jean-Kévin Augustin,Centre-Forward,"Jun 16, 1997 (26)","1,79m",right,"Jul 1, 2022",,€1.30m,FC Basel 1893,26
Bradley Fink,Centre-Forward,"Apr 17, 2003 (20)","1,92m",left,"Aug 17, 2022",,€1.00m,FC Basel 1893,26
Kaly Sène,Centre-Forward,"May 28, 2001 (22)","1,80m",right,"Aug 20, 2020",,€700k,FC Basel 1893,26
Andrin Hunziker ,Centre-Forward,"Feb 21, 2003 (20)","1,92m",right,"Jul 1, 2021",,€350k,FC Basel 1893,26
Tician Tushi,Centre-Forward,"Apr 2, 2001 (22)",-, ,"Jul 1, 2019",,€200k,FC Basel 1893,26
Roméo Beney,Centre-Forward,"Jan 19, 2005 (18)","1,87m", ,"Jan 9, 2024",,€100k,FC Basel 1893,26
Aaron Akalé,Centre-Forward,"Apr 20, 2005 (18)","1,81m", ,, ,€100k,FC Basel 1893,26
Ádám Szalai,Centre-Forward,"Dec 9, 1987 (35)","1,93m",right,"Feb 15, 2022",,-,FC Basel 1893,26
Jérémy Frick,Goalkeeper,"Mar 8, 1993 (30)","1,92m",left,"Jul 1, 2016",,€500k,Servette FC,61
Edin Omeragic,Goalkeeper,"Mar 20, 2002 (21)","1,96m",right,"Jul 1, 2020",,€300k,Servette FC,61
Léo Besson,Goalkeeper,"Oct 27, 2002 (20)","1,87m",right,"Apr 8, 2023",,€100k,Servette FC,61
Steven Deana,Goalkeeper,"Mar 4, 1990 (33)","1,90m",right,"Jul 14, 2021",,€100k,Servette FC,61
Nicolas Vouilloz,Centre-Back,"May 11, 2001 (22)","1,84m",right,"Feb 7, 2019",,€2.20m,Servette FC,61
Yoan Severin,Centre-Back,"Jan 24, 1997 (26)","1,86m",left,"Jul 17, 2018",,€900k,Servette FC,61
Diogo Monteiro,Centre-Back,"Jan 28, 2005 (18)","1,86m",right,"Jun 15, 2020",,€500k,Servette FC,61
Steve Rouiller ,Centre-Back,"Jul 10, 1990 (32)","1,83m",right,"Jul 1, 2018",,€300k,Servette FC,61
Anthony Baron,Centre-Back,"Dec 29, 1992 (30)","1,80m",left,"Jul 20, 2022",,€300k,Servette FC,61
Baba Souare,Centre-Back,"Mar 7, 1999 (24)","1,93m",left,"Jul 20, 2022",,€200k,Servette FC,61
Malik Sawadogo,Left-Back,"Jul 12, 2003 (19)","1,75m",left,"Jul 1, 2021",,€300k,Servette FC,61
Valton Behrami,Left-Back,"Mar 16, 2004 (19)","1,82m",left,"Oct 31, 2022",,€100k,Servette FC,61
Gaël Clichy,Left-Back,"Jul 26, 1985 (37)","1,76m",left,"Dec 2, 2020",,€100k,Servette FC,61
Kevin Mbabu,Right-Back,"Apr 19, 1995 (28)","1,84m",right,"Feb 13, 2023",,€3.50m,Servette FC,61
Moussa Diallo,Right-Back,"Jan 27, 1997 (26)","1,78m",right,"Aug 5, 2020",,€600k,Servette FC,61
Moritz Bauer,Right-Back,"Jan 25, 1992 (31)","1,81m",right,"Jan 25, 2022",,€200k,Servette FC,61
Issa Kaloga,Right-Back,"Feb 27, 2004 (19)","1,82m",right,"Jul 1, 2023",,€100k,Servette FC,61
Théo Magnin,Right-Back,"Aug 9, 2003 (19)","1,71m",right,"Feb 23, 2021",,€100k,Servette FC,61
David Douline,Defensive Midfield,"May 28, 1993 (30)","1,81m",right,"Jul 1, 2021",,€700k,Servette FC,61
Boris Céspedes,Defensive Midfield,"Jun 19, 1995 (28)","1,81m",right,"Jul 1, 2013",,€400k,Servette FC,61
Timothé Cognat,Central Midfield,"Jan 25, 1998 (25)","1,73m",right,"Jul 1, 2019",,€3.00m,Servette FC,61
Théo Valls,Central Midfield,"Dec 18, 1995 (27)","1,78m",left,"Sep 22, 2020",,€1.10m,Servette FC,61
Samba Diba,Central Midfield,"Dec 24, 2003 (19)","1,90m",right,"Jul 1, 2022",,€300k,Servette FC,61
Lois Ndema,Central Midfield,"Oct 3, 2004 (18)","1,79m",right,, ,€100k,Servette FC,61
Sidiki Camara,Central Midfield,"Aug 23, 2002 (20)","1,79m",right,"Jul 6, 2022",,€100k,Servette FC,61
Alexis Antunes,Attacking Midfield,"Jul 31, 2000 (22)","1,81m",right,"Jul 1, 2017",,€1.00m,Servette FC,61
Dereck Kutesa,Left Winger,"Dec 6, 1997 (25)","1,77m",right,"Aug 30, 2022",,€1.50m,Servette FC,61
Patrick Pflücke,Left Winger,"Nov 30, 1996 (26)","1,70m",left,"Jul 1, 2022",,€900k,Servette FC,61
Boubacar Fofana,Left Winger,"Sep 7, 1998 (24)","1,82m",left,"Oct 1, 2020",,€800k,Servette FC,61
Hussayn Touati,Left Winger,"Oct 3, 2001 (21)","1,76m",left,"Apr 25, 2023",,€300k,Servette FC,61
Miroslav Stevanovic,Right Winger,"Jul 29, 1990 (32)","1,80m",right,"Jul 24, 2017",,€2.00m,Servette FC,61
Ronny Rodelin,Right Winger,"Nov 18, 1989 (33)","1,93m",right,"Jul 6, 2021",,€100k,Servette FC,61
Chris Bedia,Centre-Forward,"Mar 5, 1996 (27)","1,90m",left,"Jan 24, 2022",,€2.00m,Servette FC,61
Enzo Crivelli,Centre-Forward,"Feb 6, 1995 (28)","1,84m",right,"Aug 30, 2022",,€1.00m,Servette FC,61
Dimitri Oberlin,Centre-Forward,"Sep 27, 1997 (25)","1,82m",right,"Jul 28, 2021",,€200k,Servette FC,61
Alexandre Patrício,Centre-Forward,"Feb 17, 2004 (19)","1,79m",right,"Aug 26, 2022",,€100k,Servette FC,61
Ilyes Chaïbi,Centre-Forward,"Oct 12, 1996 (26)","1,76m",right,, ,€100k,Servette FC,61
David von Ballmoos,Goalkeeper,"Dec 30, 1994 (28)","1,92m",right,"Jul 1, 2013",,€2.50m,BSC Young Boys,452
Anthony Racioppi,Goalkeeper,"Dec 31, 1998 (24)","1,89m",right,"Jan 10, 2022",,€1.70m,BSC Young Boys,452
Marvin Keller,Goalkeeper,"Jul 3, 2002 (20)","1,89m",right,"Feb 13, 2023",,€800k,BSC Young Boys,452
Dario Marzino,Goalkeeper,"Sep 19, 1996 (26)","1,84m",right,"Jul 8, 2022",,€100k,BSC Young Boys,452
Leandro Zbinden,Goalkeeper,"Jul 30, 2002 (20)","1,89m",right,"Jul 1, 2021",,€100k,BSC Young Boys,452
Cédric Zesiger,Centre-Back,"Jun 24, 1998 (25)","1,94m",left,"Jul 1, 2019",,€5.50m,BSC Young Boys,452
Mohamed Camara,Centre-Back,"Aug 28, 1997 (25)","1,93m",right,"Jul 6, 2018",,€4.20m,BSC Young Boys,452
Aurèle Amenda,Centre-Back,"Jul 31, 2003 (19)","1,97m",right,"Jan 25, 2024",,€2.00m,BSC Young Boys,452
Jordan Lefort,Centre-Back,"Aug 9, 1993 (29)","1,84m",left,"Aug 13, 2020",,€900k,BSC Young Boys,452
Loris Benito ,Centre-Back,"Jan 7, 1992 (31)","1,86m",left,"Jul 4, 2022",,€500k,BSC Young Boys,452
Joel Bichsel,Centre-Back,"Mar 4, 2002 (21)","1,94m",left,"Jul 1, 2023",,€200k,BSC Young Boys,452
