Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Stade-Lausanne-Ouchy,Home,32',Goal,Ismaël Gharbi,Left-footed shot,Elies Mahmoud,,4244785
FC Lausanne-Sport,Away,45',Goal,Donat Rrudhani,Left-footed shot,Kaly Sène,,4244785
FC Stade-Lausanne-Ouchy,Home,73',Substitution,Mergim Qarri,Tactical,,Alban Ajdini,4244785
FC Lausanne-Sport,Away,75',Substitution,Olivier Custodio,Tactical,,Simone Pafundi,4244785
FC Lausanne-Sport,Away,75',Substitution,Chris Kablan,Tactical,,Morgan Poaty,4244785
FC Stade-Lausanne-Ouchy,Home,80',Substitution,Gabriel Kyeremateng,Tactical,,Vitalie Damaşcan,4244785
FC Lausanne-Sport,Away,82',Substitution,Brighton Labeau,Tactical,,Kaly Sène,4244785
FC Lausanne-Sport,Away,82',Substitution,Fousseni Diabaté,Tactical,,Donat Rrudhani,4244785
FC Stade-Lausanne-Ouchy,Home,89',Substitution,Linus Obexer,Tactical,,Elies Mahmoud,4244785
FC Stade-Lausanne-Ouchy,Home,89',Substitution,Sahmkou Camara,Tactical,,Mohamed Abdallah,4244785
FC Stade-Lausanne-Ouchy,Home,28',Yellow Card,Mohamed Abdallah,Foul,,,4244785
FC Lausanne-Sport,Away,64',Yellow Card,Raoul Giger,Foul,,,4244785
FC Lausanne-Sport,Away,72',Yellow Card,Morgan Poaty,Foul,,,4244785
FC Lausanne-Sport,Away,75',Yellow Card,Noë Dussenne,Foul,,,4244785
FC Lausanne-Sport,Away,84',Yellow Card,Gábor Szalai,Foul,,,4244785
FC Zürich,Home,38',Goal,Antonio Marchesano,Penalty,,,4244786
FC Zürich,Home,46',Substitution,Mirlind Kryeziu,Tactical,,Fabio Daprelà,4244786
Grasshopper Club Zurich,Away,46',Substitution,Dijon Kameri,Tactical,,Tim Meyer,4244786
Grasshopper Club Zurich,Away,61',Substitution,Oliver Batista Meier,Tactical,,Pascal Schürpf,4244786
Grasshopper Club Zurich,Away,61',Substitution,Bradley Fink,Tactical,,Dorian Babunski,4244786
FC Zürich,Home,71',Substitution,Fabian Rohner,Tactical,,Antonio Marchesano,4244786
Grasshopper Club Zurich,Away,71',Substitution,Théo Ndicka Matam,Tactical,,Florian Hoxha,4244786
FC Zürich,Home,86',Substitution,Jonathan Okita,Tactical,,Rodrigo Conceição,4244786
Grasshopper Club Zurich,Away,86',Substitution,Liam Bollati,Tactical,,Dirk Abels,4244786
FC Zürich,Home,87',Substitution,Silvan Wallner,Tactical,,Nikola Boranijasevic,4244786
Grasshopper Club Zurich,Away,12',Direct Red Card,Asumah Abubakar,Violent conduct,,,4244786
