Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number,Age,Season
Marwin Hitz,Goalkeeper,1987-09-18,"1,94m",right,2022-07-01,,0.5,FC Basel 1893,26,35,2022_2023
Mirko Salvi,Goalkeeper,1994-02-14,"1,88m",right,2022-07-01,,0.1,FC Basel 1893,26,29,2022_2023
Nils de Mol ,Goalkeeper,2001-05-03,"1,83m",right,2022-07-01,,0.1,FC Basel 1893,26,22,2022_2023
Antonio Spagnoli,Goalkeeper,2005-05-31,-,right,,,0.05,FC Basel 1893,26,18,2022_2023
Riccardo Calafiori,Centre-Back,2002-05-19,"1,88m",left,2022-08-31,,4.5,FC Basel 1893,26,21,2022_2023
Andy Pelmard,Centre-Back,2000-03-12,"1,80m",right,2022-07-01,,4.3,FC Basel 1893,26,23,2022_2023
Arnau Comas ,Centre-Back,2000-04-11,"1,91m",right,2022-07-01,,1.5,FC Basel 1893,26,23,2022_2023
Nasser Djiga,Centre-Back,2002-11-15,"1,92m",right,2021-07-01,,0.7,FC Basel 1893,26,20,2022_2023
Kasim Adams,Centre-Back,1995-06-22,"1,90m",right,2022-07-21,,0.7,FC Basel 1893,26,28,2022_2023
Jonas Adjetey,Centre-Back,2003-12-13,"1,88m",right,2022-08-03,,0.1,FC Basel 1893,26,19,2022_2023
Erdin Ismaili,Centre-Back,2005-06-10,"1,80m", ,,,0.025,FC Basel 1893,26,18,2022_2023
Marvin Akahomen,Centre-Back,2007-07-15,"1,86m",left,2024-03-14,,0.0,FC Basel 1893,26,15,2022_2023
Noah Katterbach,Left-Back,2001-04-13,"1,80m",left,2022-01-18,,1.0,FC Basel 1893,26,22,2022_2023
Hugo Vogel,Left-Back,2004-01-04,"1,77m",left,2022-07-01,,0.4,FC Basel 1893,26,19,2022_2023
Andrea Padula,Left-Back,1996-04-04,"1,83m",right,2020-09-11,,0.15,FC Basel 1893,26,27,2022_2023
Hugo Novoa,Right-Back,2003-01-24,"1,82m",right,2023-01-04,,4.3,FC Basel 1893,26,20,2022_2023
Sergio López ,Right-Back,1999-04-08,"1,79m",right,2021-07-01,,1.4,FC Basel 1893,26,24,2022_2023
Michael Lang,Right-Back,1991-02-08,"1,85m",right,2021-07-19,,0.4,FC Basel 1893,26,32,2022_2023
Wouter Burger,Defensive Midfield,2001-02-16,"1,91m",left,2021-08-31,,4.5,FC Basel 1893,26,22,2022_2023
Taulant Xhaka,Defensive Midfield,1991-03-28,"1,72m",right,2010-07-01,,0.3,FC Basel 1893,26,32,2022_2023
Fabian Frei ,Defensive Midfield,1989-01-08,"1,83m",right,2018-01-01,,0.2,FC Basel 1893,26,34,2022_2023
Leon Avdullahu,Defensive Midfield,2004-02-23,"1,85m",right,2023-07-21,,0.1,FC Basel 1893,26,19,2022_2023
Andy Diouf,Central Midfield,2003-05-17,"1,87m",left,2023-07-01,,7.0,FC Basel 1893,26,20,2022_2023
Emmanuel Essiam ,Central Midfield,2003-12-19,"1,83m",right,2022-01-03,,0.5,FC Basel 1893,26,19,2022_2023
Liam Chipperfield,Central Midfield,2004-02-14,"1,78m",right,2022-01-01,,0.2,FC Basel 1893,26,19,2022_2023
Darian Males,Right Midfield,2001-05-03,"1,88m",left,2021-07-09,,5.0,FC Basel 1893,26,22,2022_2023
Adriano Onyegbule,Attacking Midfield,2006-06-23,"1,84m",right,2022-07-01,,0.2,FC Basel 1893,26,17,2022_2023
Liam Millar,Left Winger,1999-09-27,"1,81m",right,2021-07-08,,1.7,FC Basel 1893,26,23,2022_2023
Joelson Fernandes,Left Winger,2003-02-28,"1,72m",right,2021-08-31,,1.5,FC Basel 1893,26,20,2022_2023
Anton Kade,Left Winger,2004-01-17,"1,85m",right,2022-07-01,,1.0,FC Basel 1893,26,19,2022_2023
Sayfallah Ltaief,Left Winger,2000-04-22,"1,78m",right,2022-07-01,,0.4,FC Basel 1893,26,23,2022_2023
Noah Streit,Left Winger,2005-10-11,"1,79m",left,,,0.025,FC Basel 1893,26,17,2022_2023
Dan Ndoye,Right Winger,2000-10-25,"1,84m",right,2022-07-01,,3.5,FC Basel 1893,26,22,2022_2023
Zeki Amdouni,Centre-Forward,2000-12-04,"1,85m",both,2023-07-01,,10.0,FC Basel 1893,26,22,2022_2023
Andi Zeqiri,Centre-Forward,1999-06-22,"1,85m",left,2022-08-02,,3.5,FC Basel 1893,26,24,2022_2023
Jean-Kévin Augustin,Centre-Forward,1997-06-16,"1,79m",right,2022-07-01,,1.3,FC Basel 1893,26,26,2022_2023
Bradley Fink,Centre-Forward,2003-04-17,"1,92m",left,2022-08-17,,1.0,FC Basel 1893,26,20,2022_2023
Kaly Sène,Centre-Forward,2001-05-28,"1,80m",right,2020-08-20,,0.7,FC Basel 1893,26,22,2022_2023
Andrin Hunziker ,Centre-Forward,2003-02-21,"1,92m",right,2021-07-01,,0.35,FC Basel 1893,26,20,2022_2023
Tician Tushi,Centre-Forward,2001-04-02,-, ,2019-07-01,,0.2,FC Basel 1893,26,22,2022_2023
Roméo Beney,Centre-Forward,2005-01-19,"1,87m", ,2024-01-09,,0.1,FC Basel 1893,26,18,2022_2023
Aaron Akalé,Centre-Forward,2005-04-20,"1,81m", ,,,0.1,FC Basel 1893,26,18,2022_2023
Ádám Szalai,Centre-Forward,1987-12-09,"1,93m",right,2022-02-15,,0.0,FC Basel 1893,26,35,2022_2023
Jérémy Frick,Goalkeeper,1993-03-08,"1,92m",left,2016-07-01,,0.5,Servette FC,61,30,2022_2023
Edin Omeragic,Goalkeeper,2002-03-20,"1,96m",right,2020-07-01,,0.3,Servette FC,61,21,2022_2023
Léo Besson,Goalkeeper,2002-10-27,"1,87m",right,2023-04-08,,0.1,Servette FC,61,20,2022_2023
Steven Deana,Goalkeeper,1990-03-04,"1,90m",right,2021-07-14,,0.1,Servette FC,61,33,2022_2023
Nicolas Vouilloz,Centre-Back,2001-05-11,"1,84m",right,2019-02-07,,2.2,Servette FC,61,22,2022_2023
Yoan Severin,Centre-Back,1997-01-24,"1,86m",left,2018-07-17,,0.9,Servette FC,61,26,2022_2023
Diogo Monteiro,Centre-Back,2005-01-28,"1,86m",right,2020-06-15,,0.5,Servette FC,61,18,2022_2023
Steve Rouiller ,Centre-Back,1990-07-10,"1,83m",right,2018-07-01,,0.3,Servette FC,61,32,2022_2023
Anthony Baron,Centre-Back,1992-12-29,"1,80m",left,2022-07-20,,0.3,Servette FC,61,30,2022_2023
Baba Souare,Centre-Back,1999-03-07,"1,93m",left,2022-07-20,,0.2,Servette FC,61,24,2022_2023
Malik Sawadogo,Left-Back,2003-07-12,"1,75m",left,2021-07-01,,0.3,Servette FC,61,19,2022_2023
Valton Behrami,Left-Back,2004-03-16,"1,82m",left,2022-10-31,,0.1,Servette FC,61,19,2022_2023
Gaël Clichy,Left-Back,1985-07-26,"1,76m",left,2020-12-02,,0.1,Servette FC,61,37,2022_2023
Kevin Mbabu,Right-Back,1995-04-19,"1,84m",right,2023-02-13,,3.5,Servette FC,61,28,2022_2023
Moussa Diallo,Right-Back,1997-01-27,"1,78m",right,2020-08-05,,0.6,Servette FC,61,26,2022_2023
Moritz Bauer,Right-Back,1992-01-25,"1,81m",right,2022-01-25,,0.2,Servette FC,61,31,2022_2023
Issa Kaloga,Right-Back,2004-02-27,"1,82m",right,2023-07-01,,0.1,Servette FC,61,19,2022_2023
Théo Magnin,Right-Back,2003-08-09,"1,71m",right,2021-02-23,,0.1,Servette FC,61,19,2022_2023
David Douline,Defensive Midfield,1993-05-28,"1,81m",right,2021-07-01,,0.7,Servette FC,61,30,2022_2023
Boris Céspedes,Defensive Midfield,1995-06-19,"1,81m",right,2013-07-01,,0.4,Servette FC,61,28,2022_2023
Timothé Cognat,Central Midfield,1998-01-25,"1,73m",right,2019-07-01,,3.0,Servette FC,61,25,2022_2023
Théo Valls,Central Midfield,1995-12-18,"1,78m",left,2020-09-22,,1.1,Servette FC,61,27,2022_2023
Samba Diba,Central Midfield,2003-12-24,"1,90m",right,2022-07-01,,0.3,Servette FC,61,19,2022_2023
Lois Ndema,Central Midfield,2004-10-03,"1,79m",right,,,0.1,Servette FC,61,18,2022_2023
Sidiki Camara,Central Midfield,2002-08-23,"1,79m",right,2022-07-06,,0.1,Servette FC,61,20,2022_2023
Alexis Antunes,Attacking Midfield,2000-07-31,"1,81m",right,2017-07-01,,1.0,Servette FC,61,22,2022_2023
